professor,affiliation,overall_score,verdict,keyword_precision,keyword_recall,keyword_f1,field_precision,field_recall,field_f1,n_papers
Gillian Hadfield,,1.0,strong,1.0,1.0,1.0,1.0,1.0,1.0,1
Karina Vold,,0.8333333333333333,strong,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
Amanda Coston,,0.6666666666666666,moderate,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1
Hima Lakkaraju,,0.6666666666666666,moderate,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
Atoosa Kasirzadeh,,0.6346153846153847,moderate,0.8,0.36363636363636365,0.5000000000000001,1.0,0.625,0.7692307692307693,9
Kelly Chibale,,0.625,moderate,0.3333333333333333,1.0,0.5,1.0,0.6,0.7499999999999999,11
Adji Bousso Dieng,,0.5568181818181818,moderate,0.4,0.3333333333333333,0.3636363636363636,0.75,0.75,0.75,3
Connor Coley,,0.4666666666666667,moderate,1.0,0.2,0.33333333333333337,1.0,0.42857142857142855,0.6,19
Anton Korinek,The University of Virginia,0.45,moderate,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,0.4,1
Bryan Wilder,,0.4444444444444444,moderate,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444,2
Dan Hendrycks,,0.41666666666666663,moderate,0.6666666666666666,0.4,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
Nika Haghtalab,,0.41414141414141414,moderate,0.6,0.17647058823529413,0.2727272727272727,1.0,0.38461538461538464,0.5555555555555556,9
Anjalie Field,,0.3636363636363636,weak,0.2,0.16666666666666666,0.1818181818181818,0.6,0.5,0.5454545454545454,4
Aviral Kumar,,0.3476190476190476,weak,0.4,0.2,0.26666666666666666,0.6,0.3333333333333333,0.42857142857142855,32
Zhang Linghan,China University of Political Science and Law,0.3333333333333333,weak,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
David Rolnick,,0.3,weak,0.0,0.0,0.0,0.75,0.5,0.6,8
Aditi Raghunathan,,0.3,weak,0.0,0.0,0.0,0.6,0.6,0.6,3
Sina Fazelpour,,0.28571428571428575,weak,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715,1
Danish Pruthi,,0.20000000000000004,weak,0.0,0.0,0.0,0.4,0.4,0.4000000000000001,1
Gabriele Farina,,0.2,weak,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,2
Raphaël Millière,,0.16666666666666666,weak,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
Antonio Orvieto,,0.16666666666666666,weak,0.0,0.0,0.0,0.4,0.2857142857142857,0.3333333333333333,5
Ellen Vitercik,,0.125,weak,0.0,0.0,0.0,0.3333333333333333,0.2,0.25,3
Parthe Pandit,,0.125,weak,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,3
Haifeng Xu,,0.0,weak,0.0,0.0,0.0,0.0,0.0,0.0,1
Priya Donti,,0.0,weak,0.0,0.0,0.0,0.0,0.0,0.0,3
Bijun Tang,,0.0,weak,0.0,0.0,0.0,0.0,0.0,0.0,1
